# This run has the following parameters:
# time sites: 1000
# mass: 1
# time step: 0.1
# mu_squared: 1
# gauss height: 0
# gauss width: 1
# initial random width: 0.632456
# margin: 0.632456
# pre iterations: 50
# pre rounds: 5
# iterations: 300
# rounds: 5
# iterations between: 2
# position seed: 0
# accept seed: 0
# bootstrap samples: 1000
# position_hist_bins: 40
# action_hist_bins: 100
# ----
# j 	 x_j
737	0.582827
738	0.125422
739	0.109956
740	0.38987
741	0.464485
742	0.536029
743	-0.21986
744	0.121584
745	0.299038
746	-0.230353
747	0.00542041
748	-0.259519
749	-0.544365
750	-0.57203
751	-0.407261
752	-0.111091
753	0.0789939
754	0.160328
755	0.462329
756	0.300502
757	0.444614
758	-0.386313
759	-0.254494
760	0.20826
761	0.505137
762	0.522673
763	0.482055
764	0.435754
765	0.648447
766	1.33734
767	1.29951
768	1.32176
769	1.01426
770	0.610374
771	0.502982
772	0.802035
773	0.677746
774	0.360101
775	-0.345042
776	-0.546243
777	-0.572088
778	-0.874648
779	-0.690717
780	-0.57671
781	-0.466981
782	-0.143438
783	0.19026
784	0.13112
785	-0.103963
786	-0.273084
787	-0.463293
788	-0.430534
789	-0.720051
790	-0.962749
791	-0.919778
792	-1.07247
793	-0.710894
794	-0.320219
795	-0.230908
796	-0.449182
797	0.232649
798	0.307281
799	0.110494
800	0.0966222
801	0.505208
802	0.678553
803	0.229033
804	0.370933
805	0.419949
806	0.36605
807	0.311313
808	0.287426
809	-0.201898
810	-0.347372
811	-0.522732
812	-0.843701
813	-0.682694
814	-0.262573
815	-0.518231
816	-0.474466
817	-0.527551
818	-0.165918
819	0.0106789
820	-0.269396
821	-0.0635171
822	-0.603106
823	-0.337063
824	-0.291416
825	-0.400652
826	-0.547518
827	-0.805863
828	-0.664425
829	-0.51426
830	-0.435073
831	0.0268225
832	-0.0637111
833	0.00969942
834	-0.000599663
835	-0.176804
836	-0.307897
837	0.183128
838	-0.174788
839	0.0934288
840	0.242939
841	-0.0896091
842	-0.681327
843	-0.285358
844	-0.268107
845	-0.0268663
846	-0.330394
847	-0.142938
848	0.116135
849	0.396443
850	0.473755
851	0.523199
852	0.184842
853	0.174211
854	0.119844
855	0.392677
856	0.391666
857	0.0492054
858	0.0557682
859	-0.333142
860	-0.203318
861	0.543745
862	0.772114
863	0.91535
864	0.729624
865	0.556829
866	0.897376
867	0.867919
868	0.647807
869	0.672229
870	0.500216
871	0.354204
872	-0.0131476
873	0.329201
874	0.435844
875	0.536986
876	0.607981
877	0.289597
878	0.401403
879	0.127515
880	0.326013
881	-0.0209646
882	-0.102931
883	-0.151404
884	0.11372
885	-0.0412922
886	0.475953
887	0.782047
888	0.711618
889	0.303082
890	0.38259
891	0.0169611
892	0.294686
893	0.562158
894	0.796642
895	0.766919
896	0.839946
897	0.430246
898	0.114611
899	0.545577
900	0.587232
901	0.233772
902	-0.193141
903	-0.391321
904	-0.238797
905	0.348983
906	0.235187
907	0.0076758
908	0.0503492
909	0.384303
910	0.124286
911	0.576322
912	-0.0290375
913	-0.211728
914	-0.296991
915	-0.650555
916	-0.949053
917	-0.663266
918	-0.920712
919	-0.677185
920	-0.783439
921	-1.40257
922	-0.584984
923	-0.565844
924	-0.507699
925	-0.254987
926	-0.218479
927	-0.0103656
928	0.024548
929	0.0799644
930	-0.214159
931	-0.383137
932	-0.0919963
933	-0.540086
934	-0.451257
935	-0.00010388
936	0.207648
937	0.120489
938	0.430127
939	0.370531
940	-0.21719
941	-0.217208
942	0.0428223
943	0.00641447
944	-0.0404725
945	-0.0551111
946	0.162952
947	0.258987
948	0.390529
949	0.308692
950	-0.120492
951	-0.0593681
952	-0.0978292
953	0.0713156
954	0.21847
955	0.0807339
956	0.000558811
957	0.253607
958	0.213093
959	-0.0136394
960	-0.262914
961	-0.30866
962	0.344052
963	0.44766
964	0.252909
965	0.279179
966	0.530016
967	0.210021
968	0.141523
969	0.0229212
970	-0.319874
971	-0.106241
972	-0.385633
973	-0.500918
974	-0.368813
975	0.411605
976	0.434181
977	0.483552
978	0.461066
979	0.356647
980	-0.153933
981	0.183744
982	0.11752
983	-0.0716137
984	0.0913811
985	-0.0708943
986	0.591599
987	0.664534
988	0.866975
989	0.711994
990	0.547372
991	0.308251
992	0.188457
993	0.212459
994	0.0260669
995	0.221882
996	0.00231468
997	0.298195
998	0.358773
999	0.494868
