# j 	 x_j
606	-0.58941
607	-0.666837
608	-0.42407
609	-0.785523
610	-1.08362
611	-0.825354
612	-0.838782
613	-1.04231
614	-1.57553
615	-1.5559
616	-1.36844
617	-1.47182
618	-1.64162
619	-1.16365
620	-1.38145
621	-1.37917
622	-1.33709
623	-1.57673
624	-1.167
625	-0.857196
626	-0.921461
627	-1.38363
628	-1.36034
629	-1.68608
630	-1.62527
631	-1.88382
632	-1.75505
633	-1.21055
634	-1.29883
635	-1.23208
636	-1.40822
637	-1.38027
638	-0.945596
639	-0.894589
640	-0.304412
641	-0.0775961
642	-0.0214339
643	0.284105
644	0.279174
645	-0.0213446
646	0.121244
647	0.0102071
648	0.48784
649	1.03783
650	1.34506
651	1.45367
652	1.46382
653	1.7705
654	1.37849
655	1.70343
656	1.90855
657	1.93173
658	2.25709
659	2.00139
660	2.80031
661	2.84413
662	2.20144
663	2.12883
664	1.77772
665	1.80697
666	0.892742
667	0.318848
668	-0.425565
669	-0.814394
670	-1.38827
671	-1.43626
672	-1.54564
673	-1.54134
674	-1.61412
675	-1.71201
676	-1.52941
677	-1.87955
678	-1.71328
679	-1.63117
680	-1.63387
681	-1.83872
682	-1.47936
683	-1.27117
684	-1.27968
685	-1.37442
686	-1.33508
687	-1.14531
688	-1.35161
689	-1.37908
690	-1.40879
691	-1.46937
692	-1.91706
693	-2.1496
694	-2.02467
695	-1.62045
696	-1.63492
697	-1.78164
698	-1.99552
699	-1.41296
700	-1.37119
701	-1.80342
702	-1.56926
703	-0.961147
704	-0.911382
705	-1.10541
706	-0.777829
707	-0.57019
708	-0.705566
709	-1.02922
710	-0.802778
711	0.064025
712	0.138144
713	0.671571
714	1.2764
715	0.733004
716	0.890971
717	1.17
718	1.38949
719	0.422479
720	0.262571
721	-0.0551363
722	-0.141091
723	-0.275545
724	-0.259961
725	-0.663618
726	-0.512665
727	-0.338114
728	-0.0354617
729	-0.132692
730	0.166275
731	0.280312
732	0.0293916
733	0.288091
734	0.253253
735	0.113149
736	0.46312
737	0.634411
738	0.879382
739	0.660361
740	0.69457
741	1.03163
742	1.51401
743	1.46348
744	1.52142
745	1.74979
746	1.76364
747	2.02142
748	1.85888
749	1.4943
750	1.23637
751	1.44246
752	1.7002
753	1.74919
754	1.51575
755	1.37861
756	0.851898
757	0.872319
758	-0.291779
759	-0.749
760	-0.410817
761	0.0377281
762	0.421762
763	0.676251
764	0.853294
765	0.864698
766	1.24406
767	2.05042
768	1.83538
769	1.73043
770	1.65563
771	1.56314
772	1.59435
773	1.78517
774	1.70576
775	1.39492
776	1.21074
777	1.50091
778	1.19604
779	1.28269
780	1.23403
781	1.44704
782	1.59353
783	1.44287
784	0.867754
785	0.533075
786	0.0383359
787	-0.528126
788	-0.93518
789	-1.04859
790	-1.38778
791	-1.12543
792	-1.73257
793	-1.02571
794	-0.777768
795	-0.777706
796	-1.09375
797	-0.757924
798	-0.860397
799	-0.752495
800	-1.39242
801	-1.31399
802	-1.01694
803	-1.04402
804	-0.523895
805	-0.194552
806	-0.522225
807	-0.939767
808	-1.02619
809	-0.947099
810	-1.36796
811	-1.57736
812	-1.624
813	-1.3758
814	-1.10852
815	-1.26414
816	-1.40799
817	-1.83068
818	-2.17
819	-2.40048
820	-2.80375
821	-2.29086
822	-2.11017
823	-2.2934
824	-2.33175
825	-2.47188
826	-2.61568
827	-2.76547
828	-2.53037
829	-2.23516
830	-1.96269
831	-1.54818
832	-1.24869
833	-1.63498
834	-1.92246
835	-1.83041
836	-2.03352
837	-1.75591
838	-1.90984
839	-1.73712
840	-1.83252
841	-1.99478
842	-2.08323
843	-1.85872
844	-2.12971
845	-1.61877
846	-1.69079
847	-1.53508
848	-1.40432
849	-1.29603
850	-1.25481
851	-1.59795
852	-1.61272
853	-1.86261
854	-1.62785
855	-1.33146
856	-1.25585
857	-1.73588
858	-1.75535
859	-1.49898
860	-1.26969
861	-1.06666
862	-0.8478
863	0.38041
864	0.80005
865	0.584332
866	0.579635
867	0.697676
868	1.27664
869	1.13782
870	0.980171
871	0.614849
872	0.55515
873	0.202253
874	0.451326
875	0.140804
876	-0.431739
877	-0.90261
878	-0.800454
879	-1.01578
880	-0.933501
881	-1.52172
882	-1.58485
883	-1.52868
884	-1.35672
885	-1.46098
886	-1.03464
887	-0.841056
888	-0.182253
889	-0.59451
890	-0.196329
891	-0.800222
892	-1.10228
893	-1.18146
894	-1.2067
895	-1.38231
896	-1.22366
897	-1.10128
898	-0.50131
899	0.140787
900	0.674931
901	0.582538
902	0.452011
903	0.433208
904	0.764399
905	1.22712
906	1.00439
907	1.14566
908	0.766046
909	0.681486
910	0.711871
911	1.03441
912	0.704558
913	0.448437
914	0.791775
915	0.214818
916	0.106807
917	0.986988
918	0.992514
919	1.34599
920	1.35132
921	0.876869
922	0.941446
923	1.16667
924	0.725017
925	0.515736
926	0.0778973
927	-0.00911853
928	-0.14544
929	-0.0844538
930	-0.594564
931	-0.956866
932	-1.08575
933	-1.61937
934	-1.38101
935	-0.736618
936	-0.67284
937	-0.824657
938	-0.697336
939	-0.606613
940	-0.921612
941	-1.23104
